@relation 'OPENJPA_training_iter_10-weka.filters.unsupervised.attribute.Remove-R1,2,3-weka.filters.unsupervised.attribute.RemoveUseless-M0.0-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11'

@attribute LOC numeric
@attribute CyclomaticComplexity numeric
@attribute Churn numeric
@attribute LocAdded numeric
@attribute fan-in numeric
@attribute fan-out numeric
@attribute NewcomerRisk numeric
@attribute Auth numeric
@attribute WeekendCommit numeric
@attribute nSmell numeric
@attribute isBuggy {No,Yes}

@data
9,1,62,62,0,5,1,1,0,0,No
10,1,62,62,0,5,1,1,0,0,No
27,3,100,100,0,10,1,1,0,1,No
8,3,100,100,0,2,1,1,0,1,No
7,3,100,100,0,3,1,1,0,0,No
3,1,213,212,0,0,1,2,0,0,No
23,5,214,213,0,11,1,1,0,1,No
7,1,211,211,0,1,1,1,0,0,No
7,1,211,211,0,1,1,1,0,0,No
3,1,257,257,0,0,1,1,0,0,No
3,1,259,258,0,0,1,2,0,0,No
24,8,257,257,0,10,1,1,0,1,No
3,1,149,148,0,0,1,2,0,0,No
11,2,150,149,0,7,1,1,0,1,No
4,1,900,900,0,2,1,1,0,0,No
4,1,900,900,0,2,1,1,0,0,No
4,1,900,900,0,2,1,1,0,1,No
4,1,900,900,0,2,1,1,0,0,No
4,1,900,900,0,2,1,1,0,0,No
4,1,900,900,0,2,1,1,0,0,No
4,1,900,900,0,2,1,1,0,0,No
4,1,900,900,0,2,1,1,0,0,No
4,1,900,900,0,2,1,1,0,0,No
4,1,900,900,0,2,1,1,0,0,No
4,1,900,900,0,2,1,1,0,0,No
4,1,900,900,0,2,1,1,0,0,No
4,1,900,900,0,2,1,1,0,0,No
4,1,900,900,0,2,1,1,0,0,No
4,1,900,900,0,2,1,1,0,0,No
4,1,900,900,0,2,1,1,0,0,No
4,1,900,900,0,2,1,1,0,0,No
4,1,900,900,0,2,1,1,0,1,No
5,2,900,900,0,2,1,1,0,0,No
4,1,900,900,0,2,1,1,0,0,No
4,1,900,900,0,2,1,1,0,1,No
7,2,900,900,0,2,1,1,0,0,No
4,1,900,900,0,2,1,1,0,0,No
10,3,900,900,0,3,1,1,0,0,No
41,6,900,900,4,15,1,1,0,0,Yes
4,1,900,900,0,2,1,1,0,0,No
4,1,900,900,0,2,1,1,0,0,No
5,2,900,900,0,2,1,1,0,0,No
4,1,900,900,0,2,1,1,0,0,No
